size,k,dimension,faiss_time,fgc_time,count
150000,100,5,686.4729722340902,271.5175946553548,3
150000,100,10,1117.7353858947754,983.4957122802734,3
200000,10,3,682.0094585418701,22.231260935465496,3
200000,10,5,630.2139759063721,153.4581184387207,3
200000,10,10,631.67405128479,1004.1924317677816,3
200000,40,3,868.8191572825114,30.724287033081055,3
200000,40,5,893.0411338806152,197.81780242919922,3
200000,40,10,1126.9255479176838,1411.5391572316487,3
200000,100,3,1089.7517204284668,78.38018735249837,3
200000,100,5,1086.8939558664958,356.27516110738117,3
200000,100,10,1747.089385986328,1553.4573396046956,3
250000,10,3,1082.2385946909587,23.59930674235026,3
250000,10,5,1106.8983078002927,244.3850040435791,3
250000,10,10,1045.2078183492024,1260.6295744578044,3
250000,40,3,1345.11931737264,30.800501505533855,3
250000,40,5,1371.8995253245037,345.6892172495524,3
250000,40,10,1711.2162113189695,1646.5856234232585,3
250000,100,3,1588.8087749481201,93.27427546183269,3
250000,100,5,1597.923755645752,472.9870955149333,3
250000,100,10,2048.142751057943,2115.4017448425293,3
300000,10,3,1491.136868794759,27.322689692179363,3
300000,10,5,1480.4760615030925,272.45116233825684,3
300000,10,10,1442.4832661946614,1777.9530684153244,3
300000,40,3,1945.5649852752686,45.65238952636719,3
300000,40,5,1985.8436584472656,416.27709070841473,3
300000,40,10,2023.450215657552,2222.318728764852,3
300000,100,3,2304.274797439575,88.36889266967773,3
300000,100,5,2262.2321446736655,621.2950547536215,3
300000,100,10,2305.8592478434243,2608.7783177693686,3
350000,10,3,2058.256149291992,36.40516599019369,3
350000,10,5,2158.409754435221,371.3853359222412,3
350000,10,10,1922.5789705912275,2291.911125183105,3
350000,40,3,2616.8813705444336,47.448158264160156,3
350000,40,5,2627.0083586374917,509.4631512959798,3
350000,40,10,2654.564142227173,2777.109861373902,3
350000,100,3,2984.421412150065,109.73556836446126,3
350000,100,5,3138.7144724527993,761.7464860280355,3
350000,100,10,3051.159063975016,3545.5575784047446,3
400000,10,3,2638.2882595062256,39.74239031473795,3
400000,10,5,2638.458013534546,374.4068145751953,3
400000,10,10,2590.719779332479,2860.4896068573,3
400000,40,3,3650.0352223714194,64.70028559366862,3
400000,40,5,3564.9191538492837,579.125165939331,3
400000,40,10,3505.2895545959486,3528.081178665161,3
400000,100,3,3898.2460498809814,122.39424387613933,3
400000,100,5,3818.5532093048096,955.7545979817709,3
400000,100,10,4021.6879844665527,4342.270215352376,3
450000,10,3,3316.6962464650474,47.78409004211426,3
450000,10,5,3275.3731409708657,438.4795029958089,3
450000,10,10,3261.781851450602,3405.3710301717124,3
450000,40,3,4310.234308242798,62.41559982299805,3
450000,40,5,4317.1342213948565,701.5794912974039,3
450000,40,10,4414.836406707764,4201.917966206868,3
450000,100,3,4744.043429692586,119.60593859354655,3
450000,100,5,4740.527788798015,1046.9482739766438,3
