size,k,dimension,hnswlib_time,fgc_time,count
2500000.0,10,5,22538.275957107544,11311.39874458313,2
2500000.0,40,3,17490.493774414062,1479.888916015625,2
2500000.0,40,5,21977.0770072937,16290.939092636108,2
2500000.0,100,3,17500.123977661133,2954.8373222351074,2
2500000.0,100,5,24115.23127555847,21515.361547470093,2
3000000.0,10,3,20995.139837265015,2762.638807296753,2
3000000.0,10,5,26076.842308044434,13682.171821594238,2
3000000.0,40,3,20932.74712562561,3407.6857566833496,2
3000000.0,40,5,26877.875804901123,22958.313941955566,2
3000000.0,100,3,21117.589235305782,2850.780725479126,2
3000000.0,100,5,30453.782320022583,31514.196157455444,2
3500000.0,10,3,24200.796842575073,3704.6523094177246,2
3500000.0,10,5,32143.77999305725,18095.616102218628,2
3500000.0,40,3,24364.101886749268,4127.517461776733,2
3500000.0,100,3,24637.52841949463,4669.560432434082,2
5000000.0,10,2,32388.616800308228,14215.174198150637,2
5000000.0,10,3,34351.126194000244,5052.417993545532,2
5000000.0,40,2,29643.58675479889,16046.908617019652,4
5000000.0,40,3,33130.555868148804,3699.207663536072,4
5000000.0,40,4,38192.89040565491,12772.18246459961,2
